2지선,211-0,211-1,211-2,211-3,211-4,234-0,234-1,234-2,234-3,234-4
211-0,0,3,9999,9999,9999,9999,9999,9999,9999,9999
211-1,3,0,2,9999,9999,9999,9999,9999,9999,9999
211-2,9999,2,0,2,9999,9999,9999,9999,9999,9999
211-3,9999,9999,2,0,2,9999,9999,9999,9999,9999
211-4,9999,9999,9999,2,0,9999,9999,9999,9999,9999
234-0,9999,9999,9999,9999,9999,0,2,9999,9999,9999
234-1,9999,9999,9999,9999,9999,2,0,3,9999,9999
234-2,9999,9999,9999,9999,9999,9999,3,0,4,9999
234-3,9999,9999,9999,9999,9999,9999,9999,4,0,3
234-4,9999,9999,9999,9999,9999,9999,9999,9999,3,0
