총역수,552
100,소요산
101,동두천
102,보산
103,동두천중앙
104,지행
105,덕정
106,덕계
107,양주
108,녹양
109,가능
110,의정부
111,회룡
112,망월사
113,도봉산
114,도봉
115,방학
116,창동
117,녹천
118,월계
119,성북
120,석계
121,신이문
122,외대앞
123,회기
124,청량리
125,제기동
126,신설동
127,동묘앞
128,동대문
129,종로5가
130,종로3가
131,종각
132,시청
133,서울역
134,남영
135,용산
136,노량진
137,대방
138,신길
139,영등포
140,신도림
141,구로
142,구일
143,개봉
144,오류동
145,온수
146,역곡
147,소사
148,부천
149,중동
150,송내
151,부개
152,부평
153,백운
154,동암
155,간석
156,주안
157,도화
158,제물포
159,도원
160,동인천
161,인천
P141,구로
P142,가산디지털단지
P143,독산
P144,금천구청
P145,석수
P146,관악
P147,안양
P148,명학
P149,금정
P150,군포
P151,당정
P152,의왕
P153,성균관대
P154,화서
P155,수원
P156,세류
P157,병점
P158,세마
P159,오산대
P160,오산
P161,진위
P162,송탄
P163,서정리
P164,지제
P165,평택
P166,성환
P167,직산
P168,두정
P169,천안
P170,봉명
P171,쌍용
P172,아산
P174,배방
P176,온양온천
P177,신창
P144-0,금천구청
K410,광명
P157-0,병점
P157-1,서동탄
202,을지로입구
203,을지로3가
204,을지로4가
205,동대문역사문화공원
206,신당
207,상왕십리
208,왕십리
209,한양대
210,뚝섬
211,성수
212,건대입구
213,구의
214,강변
215,잠실나루
216,잠실
217,신천
218,종합운동장
219,삼성
220,선릉
221,역삼
222,강남
223,교대
224,서초
225,방배
226,사당
227,낙성대
228,서울대입구
229,봉천
230,신림
231,신대방
232,구로디지털단지
233,대림
234,신도림
235,문래
236,영등포구청
237,당산
238,합정
239,홍대입구
240,신촌
241,이대
242,아현
243,충정로
201,시청
211-0,성수
211-1,용답
211-2,신답
211-3,용두
211-4,신설동
234-0,신도림
234-1,도림천
234-2,양천구청
234-3,신정네거리
234-4,까치산
310,대화
311,주엽
312,정발산
313,마두
314,백석
315,대곡
316,화정
317,원당
318,삼송
319,지축
320,구파발
321,연신내
322,불광
323,녹번
324,홍제
325,무악재
326,독립문
327,경복궁
328,안국
329,종로3가
330,을지로3가
331,충무로
332,동대입구
333,약수
334,금호
335,옥수
336,압구정
337,신사
338,잠원
339,고속터미널
340,교대
341,남부터미널
342,양재
343,매봉
344,도곡
345,대치
346,학여울
347,대청
348,일원
349,수서
350,가락시장
351,경찰병원
352,오금
409,당고개
410,상계
411,노원
412,창동
413,쌍문
414,수유
415,미아
416,미아삼거리
417,길음
418,성신여대입구
419,한성대입구
420,혜화
421,동대문
422,동대문역사문화공원
423,충무로
424,명동
425,회현
426,서울역
427,숙대입구
428,삼각지
429,신용산
430,이촌
431,동작
432,이수
433,사당
434,남태령
435,선바위
436,경마공원
437,대공원
438,과천
439,정부과천청사
440,인덕원
441,평촌
442,범계
443,금정
444,산본
445,수리산
446,대야미
447,반월
448,상록수
449,한대앞
450,중앙
451,고잔
452,공단
453,안산
454,신길온천
455,정왕
456,오이도
510,방화
511,개화산
512,김포공항
513,송정
514,마곡
515,발산
516,우장산
517,화곡
518,까치산
519,신정
520,목동
521,오목교
522,양평
