중앙선,K110,K111,K112,K113,K114,K115,K116,K117,K118,K119,K120,K121,K122,K123,K124,K125,K126,K127,K128,K129,K130,K131,K132,K133,K134,K135,K136,K137
K110,0,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K111,4,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K112,9999,3,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K113,9999,9999,3,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K114,9999,9999,9999,3,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K115,9999,9999,9999,9999,3,0,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K116,9999,9999,9999,9999,9999,2,0,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K117,9999,9999,9999,9999,9999,9999,4,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K118,9999,9999,9999,9999,9999,9999,9999,3,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K119,9999,9999,9999,9999,9999,9999,9999,9999,3,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K120,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K121,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K122,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K123,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K124,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K125,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,0,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K126,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K127,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,5,9999,9999,9999,9999,9999,9999,9999,9999,9999
K128,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,0,5,9999,9999,9999,9999,9999,9999,9999,9999
K129,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,0,2,9999,9999,9999,9999,9999,9999,9999
K130,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,0,4,9999,9999,9999,9999,9999,9999
K131,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,0,4,9999,9999,9999,9999,9999
K132,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,0,5,9999,9999,9999,9999
K133,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,0,3,9999,9999,9999
K134,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,3,9999,9999
K135,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,5,9999
K136,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,0,5
K137,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,0
