분당,K210,K211,K212,K213,K214,K215,K216,K217,K218,K219,K220,K221,K222,K223,K224,K225,K226,K227,K228,K229,K230,K231,K232,K233,K234
K210,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K211,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K212,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K213,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K214,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K215,9999,9999,9999,9999,9999,0,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K216,9999,9999,9999,9999,9999,2,0,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K217,9999,9999,9999,9999,9999,9999,2,0,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K218,9999,9999,9999,9999,9999,9999,9999,2,0,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K219,9999,9999,9999,9999,9999,9999,9999,9999,2,0,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K220,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,0,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K221,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,0,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K222,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K223,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
K224,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,0,2,9999,9999,9999,9999,9999,9999,9999,9999,9999
K225,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,0,3,9999,9999,9999,9999,9999,9999,9999,9999
K226,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,3,9999,9999,9999,9999,9999,9999,9999
K227,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,2,9999,9999,9999,9999,9999,9999
K228,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,0,2,9999,9999,9999,9999,9999
K229,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,0,3,9999,9999,9999,9999
K230,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,3,9999,9999,9999
K231,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,2,9999,9999
K232,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,0,4,9999
K233,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,0,3
K234,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0
